model,cluster,metric,n_users,mean_before,mean_after,mean_delta,ci_low,ci_high,significant,improvement_significant,direction,bootstrap_method,formatted_delta_ci
gigchat3,cluster_0,answer_similarity,38,0.6649122807017541,0.7129007529886661,0.04798847228691205,0.034792734047508156,0.061298098094509354,True,True,higher_is_better,BCa,"+0.0480 [+0.0348, +0.0613] *"
gigchat3,cluster_0,facet_similarity,37,0.7471005102262844,0.7304176639856587,-0.016682846240625788,-0.02842664809739786,-0.0054360283494107355,True,False,higher_is_better,BCa,"-0.0167 [-0.0284, -0.0054]"
gigchat3,cluster_0,mae_35,37,24.7109698776352,26.2157831310222,1.5048132533870024,0.41611657752404363,2.643350802400724,True,False,lower_is_better,BCa,"+1.505 [+0.416, +2.643]"
gigchat3,cluster_0,trait_similarity,37,0.7876290472078264,0.7823891969144913,-0.005239850293335093,-0.021436962433825375,0.012675814971429526,False,False,higher_is_better,BCa,"-0.0052 [-0.0214, +0.0127]"
gigchat3,cluster_1,answer_similarity,35,0.6754166666666664,0.6896428571428567,0.014226190476190467,0.0034105205455824527,0.025952380952380855,True,True,higher_is_better,BCa,"+0.0142 [+0.0034, +0.0260] *"
gigchat3,cluster_1,facet_similarity,35,0.7736787262510376,0.7660568911817064,-0.007621835069331137,-0.0159539247702323,0.00011975345427629155,False,False,higher_is_better,BCa,"-0.0076 [-0.0160, +0.0001]"
gigchat3,cluster_1,mae_35,35,22.256104507359403,22.69061577049278,0.43451126313337723,-0.30541429910480467,1.233859570792046,False,False,lower_is_better,BCa,"+0.435 [-0.305, +1.234]"
gigchat3,cluster_1,trait_similarity,35,0.8000003269786135,0.8153155489752636,0.015315221996650088,0.0013638283314193033,0.027939650262343997,True,True,higher_is_better,BCa,"+0.0153 [+0.0014, +0.0279] *"
gigchat3,cluster_2,answer_similarity,39,0.7394764957264957,0.7373397435897433,-0.002136752136752229,-0.008226495726495817,0.00582264957264948,False,False,higher_is_better,BCa,"-0.0021 [-0.0082, +0.0058]"
gigchat3,cluster_2,facet_similarity,39,0.7456252401661255,0.7427599664872968,-0.0028652736788288705,-0.010745366855588884,0.005374867871110776,False,False,higher_is_better,BCa,"-0.0029 [-0.0107, +0.0054]"
gigchat3,cluster_2,mae_35,39,24.92935534554842,25.31896090469504,0.38960555914662304,-0.4666326333320512,1.1829142513460669,False,False,lower_is_better,BCa,"+0.390 [-0.467, +1.183]"
gigchat3,cluster_2,trait_similarity,39,0.7811936848148547,0.7711129377475648,-0.010080747067290056,-0.02463658718448878,0.00772342242645922,False,False,higher_is_better,BCa,"-0.0101 [-0.0246, +0.0077]"
gigchat3,cluster_3,answer_similarity,40,0.6371354166666665,0.6721354166666663,0.03499999999999995,0.013148797216172743,0.06093749999999999,True,True,higher_is_better,BCa,"+0.0350 [+0.0131, +0.0609] *"
gigchat3,cluster_3,facet_similarity,40,0.7040541238479026,0.7203811077461444,0.0163269838982418,-0.0006093827499256513,0.03509378049709086,False,False,higher_is_better,BCa,"+0.0163 [-0.0006, +0.0351]"
gigchat3,cluster_3,mae_35,40,29.01988992262027,27.697374639276536,-1.3225152833437335,-3.1050945862897215,0.27486068400817937,False,False,lower_is_better,BCa,"-1.323 [-3.105, +0.275]"
